epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,399.199,2.32882,2.71675,1.53411,0.86805,0.03741,0.175,0.07652,2.11459,3.0531,1.40365,0.000410714,0.000410714,0.000410714
2,913.3,2.122,1.75604,1.42124,0.56985,0.2094,0.20055,0.09538,2.22353,2.86174,1.59255,0.000810999,0.000810999,0.000810999
3,1378.25,2.085,1.64326,1.42042,0.82565,0.26453,0.2999,0.13105,2.21015,2.01342,1.6134,0.00119478,0.00119478,0.00119478
4,2082.58,2.05887,1.53866,1.40763,0.84526,0.26718,0.29896,0.13406,2.13734,2.03707,1.56979,0.00117575,0.00117575,0.00117575
5,2709.45,2.03976,1.50154,1.39498,0.75599,0.27735,0.26783,0.11754,2.28306,2.83619,1.61359,0.001151,0.001151,0.001151
